Athlete,Unspecified,,,,,,,,,,,,,,,,,,,,
Date,"Mon, Apr 27 2026",,,,,,,,,,,,,,,,,,,,
Interval,10,,,,,,,,,,,,,,,,,,,,
Start Time,5:09:17.9 PM,,,,,,,,,,,,,,,,,,,,
End Time,5:21:18.7 PM,,,,,,,,,,,,,,,,,,,,
Duration,0:12:00.7,,,,,,,,,,,,,,,,,,,,
Distance,3015 m,,,,,,,,,,,,,,,,,,,,
Class,4+,,,,,,,,,,,,,,,,,,,,
Shell,1,,,,,,,,,,,,,,,,,,,,
Seat,S,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Stroke,Timestamp,Split,SPM,Speed (m/s),DPS (m),Power (W),Work (J),Peak N,Peak °,Peak %,Length (°),Connection (°),Catch (°),Release (°),Slip (°),Wash (°),Check (ms),Drive Time (s),HR (bpm),Drive %,Recovery %
114,5:13:06.9 PM,0:02:05.571000,30.3,3.98,8.2,187,370,488,-20.4,42.6,81.2,49.9,-55,26.2,16.8,14.4,640,0.958,,48.4,51.6
115,5:13:08.9 PM,0:02:04.256000,29.4,4.02,8.1,200,408,522,-22.4,38.7,78.9,50.2,-53,25.9,12.8,15.9,644,1.034,,50.7,49.3
116,5:13:10.9 PM,0:02:04.317000,30.3,4.02,8.1,164,324,434,-16.7,43.6,78.2,46.6,-50.9,27.3,14.6,17.1,594,0.974,,49.2,50.8
117,5:13:12.9 PM,0:02:02.217000,29.4,4.09,8.7,171,348,469,-21.2,38.9,79.1,49,-51.9,27.1,14.4,15.7,666,1.002,,49.1,50.9
118,5:13:14.9 PM,0:02:01.461000,29.6,4.12,8.2,188,382,494,-19.1,41,77.8,51.8,-51,26.8,13.4,12.5,656,0.928,,45.8,54.2
119,5:13:16.9 PM,0:02:01.411000,29.4,4.12,8.4,191,391,497,-15.6,46.3,78.9,51.2,-52.1,26.8,14.5,13.2,652,1.02,,50,50
120,5:13:19.0 PM,0:02:01.108000,30.1,4.13,8.1,190,379,488,-11.1,51.6,78.2,49.8,-51.4,26.8,15.1,13.3,665,0.974,,48.8,51.2
121,5:13:21.0 PM,0:02:01.780000,30.1,4.11,7.9,194,387,502,-18.3,41.9,77.2,50.3,-50.6,26.6,13.6,13.3,647,0.976,,48.9,51.1
122,5:13:23.0 PM,0:02:02.913000,29.4,4.07,8.4,194,395,512,-20.7,39.7,78.3,50.1,-51.7,26.5,13.3,14.8,650,0.987,,48.4,51.6
123,5:13:25.0 PM,0:02:03.878000,29.6,4.04,7.9,220,446,537,-9.9,54.1,78.7,53.3,-52.5,26.2,12.1,13.2,618,1.007,,49.7,50.3
124,5:13:27.0 PM,0:02:05.665000,30.3,3.98,7.5,201,397,486,-13,50.6,80.3,53.2,-53.6,26.6,15.2,11.9,606,0.839,,42.4,57.6
125,5:13:29.0 PM,0:02:06.196000,28.7,3.96,8.6,199,417,521,-17.3,44.1,78.8,51.9,-52.1,26.7,13.8,13,675,1.024,,49,51
126,5:13:31.1 PM,0:02:04.619000,30.1,4.01,8.4,224,446,543,-14.8,47.5,79.2,55.9,-52.4,26.8,12.6,10.8,613,1.019,,51.2,48.8
127,5:13:33.1 PM,0:02:04.304000,28.7,4.02,8.5,175,367,466,-21.7,38.9,81,51.4,-53.2,27.8,13.8,15.8,622,1.055,,50.5,49.5
128,5:13:35.2 PM,0:02:03.006000,30.8,4.06,7.6,165,320,417,-19.4,42.3,80.8,49.2,-53.6,27.2,17.2,14.3,656,0.867,,44.6,55.4
129,5:13:37.1 PM,0:02:01.593000,29.4,4.11,8.2,152,311,431,-16.1,44,75.6,45.8,-49.4,26.2,14.4,15.4,633,0.99,,48.5,51.5
130,5:13:39.2 PM,0:02:03.108000,29.9,4.06,7.5,171,344,447,-15.9,43.5,76.4,47.7,-49.1,27.3,15,13.7,621,0.974,,48.5,51.5
